,BRAND,ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,PRODUCT_NAME,VARIANT,ITEM_CODE,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
3104,nanihaal,9/29/25,Delhi,laxmi nagar,649841,"salt, sugar and jaggery",salt,sendha salt,nanihaal sendha namak,200 g,928028,No,,,27,1,27
3105,nanihaal,9/29/25,Rudrapur,shiv nagar,1402787,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3106,nanihaal,9/29/25,Kolkata,esplanade,1400971,"masala, pickle and papad",whole spices,mustard seeds,nanihaal kaali sarson,100 g,329709,No,,,30,1,30
3107,nanihaal,9/29/25,Delhi,rohini,1404620,"salt, sugar and jaggery",salt,sendha salt,nanihaal sendha namak,200 g,928028,No,,,27,1,27
3108,nanihaal,9/29/25,Central Goa,sou_vasco,1402250,"masala, pickle and papad",powdered spices,black pepper,nanihaal black pepper ( whole),100 g,752565,No,,,240,1,240
3109,nanihaal,9/29/25,Delhi,rajouri garden,1062420,"salt, sugar and jaggery",salt,sendha salt,nanihaal sendha namak,200 g,928028,No,,,27,1,27
3110,nanihaal,9/29/25,Delhi,uttam nagar,1387705,"salt, sugar and jaggery",salt,sendha salt,nanihaal sendha namak,200 g,928028,No,,,27,1,27
3111,nanihaal,9/29/25,Gurgaon,jalvayu towers,1403213,"masala, pickle and papad",whole spices,mustard seeds,nanihaal black kaali rai,100 g,476460,No,,,48,1,48
3112,nanihaal,9/29/25,Gurgaon,sohna road,1389633,"masala, pickle and papad",whole spices,saunf,nanihaal moti saunf,100 g,129595,No,,,105,1,105
3113,nanihaal,9/29/25,Kolkata,kestopur,1382353,"masala, pickle and papad",whole spices,kalonji,nanihaal kalonji,100 g,447621,No,,,72,1,72
3114,nanihaal,9/29/25,Gurgaon,imt manesar,1402055,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3115,nanihaal,9/29/25,Gurgaon,new cyber city,1404592,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,210,1,210
3116,nanihaal,9/29/25,Gurgaon,new sohna road,1402056,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3117,nanihaal,9/29/25,Cuttack,college square,1403140,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,55,1,55
3118,nanihaal,9/29/25,Noida,crossing republic,1401661,"masala, pickle and papad",whole spices,kalonji,nanihaal kalonji,100 g,447621,No,,,72,1,72
3119,nanihaal,9/29/25,Faridabad,sector 79,1391900,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,145,1,145
3120,nanihaal,9/29/25,Mumbai,mulund,788745,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3121,nanihaal,9/29/25,Mumbai,kalyan,1388387,"masala, pickle and papad",powdered spices,black pepper,nanihaal black pepper ( whole),100 g,752565,No,,,240,1,240
3122,nanihaal,9/29/25,Gurgaon,sohna road,1389633,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3123,nanihaal,9/29/25,Jaipur,jhotwara,1403026,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3124,nanihaal,9/29/25,Meerut,meerut cantt,1401282,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,135,1,135
